manufacturer,fuel_type,num_of_doors,body_style,length,width,height,num_of_cylinders,engine_size,horsepower,city_mpg,highway_mpg,price
audi,gas,four,sedan,176.6,66.2,54.3,four,109,102,24,30,13950
audi,gas,four,sedan,176.6,66.4,54.3,five,136,115,18,22,17450
audi,gas,four,sedan,192.7,71.4,55.7,five,136,110,19,25,17710
audi,gas,four,sedan,192.7,71.4,55.9,five,131,140,17,20,23875
bmw,gas,two,sedan,176.8,64.8,54.3,four,108,101,23,29,16430
bmw,gas,four,sedan,176.8,64.8,54.3,four,108,101,23,29,16925
bmw,gas,two,sedan,176.8,64.8,54.3,six,164,121,21,28,20970
bmw,gas,four,sedan,176.8,64.8,54.3,six,164,121,21,28,21105
chevrolet,gas,two,hatchback,141.1,60.3,53.2,three,61,48,47,53,5151
chevrolet,gas,two,hatchback,155.9,63.6,52,four,90,70,38,43,6295
chevrolet,gas,four,sedan,158.8,63.6,52,four,90,70,38,43,6575
dodge,gas,two,hatchback,157.3,63.8,50.8,four,90,68,37,41,5572
dodge,gas,two,hatchback,157.3,63.8,50.8,four,90,68,31,38,6377
dodge,gas,two,hatchback,157.3,63.8,50.8,four,98,102,24,30,7957
dodge,gas,four,hatchback,157.3,63.8,50.6,four,90,68,31,38,6229
dodge,gas,four,sedan,157.3,63.8,50.6,four,90,68,31,38,6692
dodge,gas,four,sedan,157.3,63.8,50.6,four,90,68,31,38,7609
dodge,gas,four,wagon,174.6,64.6,59.8,four,122,88,24,30,8921
dodge,gas,two,hatchback,173.2,66.3,50.2,four,156,145,19,24,12964
honda,gas,two,hatchback,144.6,63.9,50.8,four,92,58,49,54,6479
honda,gas,two,hatchback,144.6,63.9,50.8,four,92,76,31,38,6855
honda,gas,two,hatchback,150,64,52.6,four,79,60,38,42,5399
honda,gas,two,hatchback,150,64,52.6,four,92,76,30,34,6529
honda,gas,two,hatchback,150,64,52.6,four,92,76,30,34,7129
honda,gas,four,sedan,163.4,64,54.5,four,92,76,30,34,7295
honda,gas,four,wagon,157.1,63.9,58.3,four,92,76,30,34,7295
honda,gas,two,hatchback,167.5,65.2,53.3,four,110,86,27,33,7895
honda,gas,two,hatchback,167.5,65.2,53.3,four,110,86,27,33,9095
honda,gas,four,sedan,175.4,65.2,54.1,four,110,86,27,33,8845
honda,gas,four,sedan,175.4,62.5,54.1,four,110,86,27,33,10295
honda,gas,four,sedan,175.4,65.2,54.1,four,110,101,24,28,12945
honda,gas,two,sedan,169.1,66,51,four,110,100,25,31,10345
jaguar,gas,four,sedan,199.6,69.6,52.8,six,258,176,15,19,32250
mazda,gas,two,hatchback,159.1,64.2,54.1,four,91,68,30,31,5195
mazda,gas,two,hatchback,159.1,64.2,54.1,four,91,68,31,38,6095
mazda,gas,two,hatchback,159.1,64.2,54.1,four,91,68,31,38,6795
mazda,gas,four,sedan,166.8,64.2,54.1,four,91,68,31,38,6695
mazda,gas,four,sedan,166.8,64.2,54.1,four,91,68,31,38,7395
mazda,gas,two,hatchback,177.8,66.5,53.7,four,122,84,26,32,8845
mazda,gas,four,sedan,177.8,66.5,55.5,four,122,84,26,32,8495
mazda,gas,two,hatchback,177.8,66.5,53.7,four,122,84,26,32,10595
mazda,gas,four,sedan,177.8,66.5,55.5,four,122,84,26,32,10245
mazda,gas,four,hatchback,177.8,66.5,55.5,four,122,84,26,32,11245
mazda,gas,four,sedan,175,66.1,54.4,four,140,120,19,27,18280
mercedes-benz,diesel,four,sedan,190.9,70.3,56.5,five,183,123,22,25,25552
mercedes-benz,diesel,four,wagon,190.9,70.3,58.7,five,183,123,22,25,28248
mercedes-benz,diesel,two,hardtop,187.5,70.3,54.9,five,183,123,22,25,28176
mercedes-benz,diesel,four,sedan,202.6,71.7,56.3,five,183,123,22,25,31600
mercedes-benz,gas,two,convertible,180.3,70.5,50.8,eight,234,155,16,18,35056
mitsubishi,gas,two,hatchback,157.3,64.4,50.8,four,92,68,37,41,5389
mitsubishi,gas,two,hatchback,157.3,64.4,50.8,four,92,68,31,38,6189
mitsubishi,gas,two,hatchback,157.3,64.4,50.8,four,92,68,31,38,6669
mitsubishi,gas,two,hatchback,157.3,63.8,50.8,four,98,102,24,30,7689
mitsubishi,gas,two,hatchback,173,65.4,49.4,four,110,116,23,30,9959
mitsubishi,gas,two,hatchback,173,65.4,49.4,four,122,88,25,32,8499
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,122,88,25,32,6989
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,122,88,25,32,8189
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,110,116,23,30,9279
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,110,116,23,30,9279
nissan,gas,two,sedan,165.3,63.8,54.5,four,97,69,31,37,5499
nissan,diesel,two,sedan,165.3,63.8,54.5,four,103,55,45,50,7099
nissan,gas,two,sedan,165.3,63.8,54.5,four,97,69,31,37,6649
nissan,gas,four,sedan,165.3,63.8,54.5,four,97,69,31,37,6849
nissan,gas,four,wagon,170.2,63.8,53.5,four,97,69,31,37,7349
nissan,gas,two,sedan,165.3,63.8,54.5,four,97,69,31,37,7299
nissan,gas,two,hatchback,165.6,63.8,53.3,four,97,69,31,37,7799
nissan,gas,four,sedan,165.3,63.8,54.5,four,97,69,31,37,7499
nissan,gas,four,wagon,170.2,63.8,53.5,four,97,69,31,37,7999
nissan,gas,two,hardtop,162.4,63.8,53.3,four,97,69,31,37,8249
nissan,gas,four,hatchback,173.4,65.2,54.7,four,120,97,27,34,8949
nissan,gas,four,sedan,173.4,65.2,54.7,four,120,97,27,34,9549
nissan,gas,four,sedan,181.7,66.5,55.1,six,181,152,17,22,13499
nissan,gas,four,wagon,184.6,66.5,56.1,six,181,152,17,22,14399
nissan,gas,four,sedan,184.6,66.5,55.1,six,181,152,19,25,13499
nissan,gas,two,hatchback,170.7,67.9,49.7,six,181,160,19,25,17199
nissan,gas,two,hatchback,170.7,67.9,49.7,six,181,200,17,23,19699
nissan,gas,two,hatchback,178.5,67.9,49.7,six,181,160,19,25,18399
peugot,gas,four,sedan,186.7,68.4,56.7,four,120,97,19,24,11900
peugot,diesel,four,sedan,186.7,68.4,56.7,four,152,95,28,33,13200
peugot,gas,four,sedan,186.7,68.4,56.7,four,120,95,19,24,15580
peugot,diesel,four,sedan,186.7,68.4,56.7,four,152,95,28,33,16900
peugot,gas,four,sedan,186.7,68.4,56.7,four,120,97,19,24,16630
peugot,diesel,four,sedan,186.7,68.4,56.7,four,152,95,28,33,17950
peugot,gas,four,sedan,186.7,68.3,56,four,134,142,18,24,18150
plymouth,gas,two,hatchback,157.3,63.8,50.8,four,90,68,37,41,5572
plymouth,gas,two,hatchback,157.3,63.8,50.8,four,98,102,24,30,7957
plymouth,gas,four,hatchback,157.3,63.8,50.6,four,90,68,31,38,6229
plymouth,gas,four,sedan,167.3,63.8,50.8,four,90,68,31,38,6692
plymouth,gas,four,sedan,167.3,63.8,50.8,four,98,68,31,38,7609
plymouth,gas,four,wagon,174.6,64.6,59.8,four,122,88,24,30,8921
porsche,gas,two,hatchback,168.9,68.3,50.2,four,151,143,19,27,22018
saab,gas,two,hatchback,186.6,66.5,56.1,four,121,110,21,28,11850
saab,gas,four,sedan,186.6,66.5,56.1,four,121,110,21,28,12170
saab,gas,two,hatchback,186.6,66.5,56.1,four,121,110,21,28,15040
saab,gas,four,sedan,186.6,66.5,56.1,four,121,110,21,28,15510
saab,gas,two,hatchback,186.6,66.5,56.1,four,121,160,19,26,18150
saab,gas,four,sedan,186.6,66.5,56.1,four,121,160,19,26,18620
subaru,gas,two,hatchback,156.9,63.4,53.7,four,97,69,31,36,5118
subaru,gas,two,hatchback,157.9,63.6,53.7,four,108,73,26,31,7053
subaru,gas,two,hatchback,157.3,63.8,55.7,four,108,73,26,31,7603
subaru,gas,four,sedan,172,65.4,52.5,four,108,82,32,37,7126
subaru,gas,four,sedan,172,65.4,52.5,four,108,82,28,33,7775
subaru,gas,four,sedan,172,65.4,52.5,four,108,94,26,32,9960
subaru,gas,four,sedan,172,65.4,54.3,four,108,82,24,25,9233
subaru,gas,four,sedan,172,65.4,54.3,four,108,111,24,29,11259
subaru,gas,four,wagon,173.5,65.4,53,four,108,82,28,32,7463
subaru,gas,four,wagon,173.5,65.4,53,four,108,94,25,31,10198
subaru,gas,four,wagon,173.6,65.4,54.9,four,108,82,23,29,8013
subaru,gas,four,wagon,173.6,65.4,54.9,four,108,111,23,23,11694
toyota,gas,two,hatchback,158.7,63.6,54.5,four,92,62,35,39,5348
toyota,gas,two,hatchback,158.7,63.6,54.5,four,92,62,31,38,6338
toyota,gas,four,hatchback,158.7,63.6,54.5,four,92,62,31,38,6488
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,31,37,6918
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,27,32,7898
toyota,gas,four,wagon,169.7,63.6,59.1,four,92,62,27,32,8778
toyota,gas,four,sedan,166.3,64.4,53,four,98,70,30,37,6938
toyota,gas,four,hatchback,166.3,64.4,52.8,four,98,70,30,37,7198
toyota,diesel,four,sedan,166.3,64.4,53,four,110,56,34,36,7898
toyota,diesel,four,hatchback,166.3,64.4,52.8,four,110,56,38,47,7788
toyota,gas,four,sedan,166.3,64.4,53,four,98,70,38,47,7738
toyota,gas,four,hatchback,166.3,64.4,52.8,four,98,70,28,34,8358
toyota,gas,four,sedan,166.3,64.4,52.8,four,98,70,28,34,9258
toyota,gas,two,sedan,168.7,64,52.6,four,98,70,29,34,8058
toyota,gas,two,hatchback,168.7,64,52.6,four,98,70,29,34,8238
toyota,gas,two,sedan,168.7,64,52.6,four,98,112,26,29,9298
toyota,gas,two,hatchback,168.7,64,52.6,four,98,112,26,29,9538
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,24,30,8449
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,24,30,9639
toyota,gas,two,hatchback,176.2,65.6,52,four,146,116,24,30,9989
toyota,gas,two,hardtop,176.2,65.6,52,four,146,116,24,30,11199
toyota,gas,two,hatchback,176.2,65.6,52,four,146,116,24,30,11549
toyota,gas,two,convertible,176.2,65.6,53,four,146,116,24,30,17669
toyota,gas,four,sedan,175.6,66.5,54.9,four,122,92,29,34,8948
toyota,diesel,four,sedan,175.6,66.5,54.9,four,110,73,30,33,10698
toyota,gas,four,hatchback,175.6,66.5,53.9,four,122,92,27,32,9988
toyota,gas,four,sedan,175.6,66.5,54.9,four,122,92,27,32,10898
toyota,gas,four,hatchback,175.6,66.5,53.9,four,122,92,27,32,11248
toyota,gas,two,hatchback,183.5,67.7,52,six,171,161,20,24,16558
toyota,gas,two,hatchback,183.5,67.7,52,six,171,161,19,24,15998
toyota,gas,four,sedan,187.8,66.5,54.1,six,171,156,20,24,15690
volkswagen,diesel,two,sedan,171.7,65.5,55.7,four,97,52,37,46,7775
volkswagen,gas,two,sedan,171.7,65.5,55.7,four,109,85,27,34,7975
volkswagen,diesel,four,sedan,171.7,65.5,55.7,four,97,52,37,46,7995
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,85,27,34,8195
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,85,27,34,8495
volkswagen,diesel,four,sedan,171.7,65.5,55.7,four,97,68,37,42,9495
volkswagen,gas,four,sedan,171.7,65.5,55.7,four,109,100,26,32,9995
volkswagen,gas,two,hatchback,165.7,64,51.4,four,109,90,24,29,9980
volvo,gas,four,sedan,188.8,67.2,56.2,four,141,114,23,28,12940
volvo,gas,four,wagon,188.8,67.2,57.5,four,141,114,23,28,13415
volvo,gas,four,sedan,188.8,67.2,56.2,four,141,114,24,28,15985
volvo,gas,four,wagon,188.8,67.2,57.5,four,141,114,24,28,16515
volvo,gas,four,sedan,188.8,67.2,56.2,four,130,162,17,22,18420
volvo,gas,four,wagon,188.8,67.2,57.5,four,130,162,17,22,18950
volvo,gas,four,sedan,188.8,68.9,55.5,four,141,114,23,28,16845
volvo,gas,four,sedan,188.8,68.8,55.5,four,141,160,19,25,19045
volvo,gas,four,sedan,188.8,68.9,55.5,six,173,134,18,23,21485
volvo,diesel,four,sedan,188.8,68.9,55.5,six,145,106,26,27,22470
volvo,gas,four,sedan,188.8,68.9,55.5,four,141,114,19,25,22625
